Diptera_family;Diptera_species;Species_authors_diptera;Species_authors_galls;Sampling_year;Genus/Species_host_plant_adjusted;Genus/Species_host_plant_original_paper;Host_plant_family;Site_states;Site_municipality ;Study_location;Vegetation_type;Complete_references;;;;;;;;;;;;;
Cecidomyiidae;Alycaulus hexadentatus Urso-Guimarães, 2019;Urso-Guimarães, 2019;Urso-Guimarães, 2019;2019;Smilax oblongifolia Pohl. ex Grisebach. ;NA;Smilacaceae;São Paulo ;Altinópolis;Itambé touristic complex area;Cerrado;Urso-Guimarães, M. V. 2018. A new species of Asphondylia (Diptera: Cecidomyiidae) and a key to separate species of the genus associated with Asteraceae from Neotropical region. Papéis Avulsos De Zoologia 58, e20185853.;;;;;;;;;;;;;
Cecidomyiidae;Anadiplosis caetetensis Tavares, 1920;Tavares, 1920;Tavares, 1920;1920;Undetermined species of Fabaceae;NA;Fabaceae;Bahia ;Caeteté;NA;Transição caatinga-cerrado;Tavares, J.S. 1920. O género Bruggmanniella Tav. com a descripção de uma espécie nova e a clave dichotómica des géneros das Asphondyliariae. Brotéria, Série Zoológica 18 (1): 33–42.;;;;;;;;;;;;;
Cecidomyiidae;Andirodiplosis bahiensis Tavares, 1920;Tavares, 1920;Saito & Urso-Guimarães, 2012;2012;Andira sp.;NA;Fabaceae;Bahia, São Paulo;Salvador, Luiz Antônio;NA;Mata Atlântica, Cerradão, Cerrado;Saito, V. S., and M. V. Urso-Guimarães. 2012. Characterization of galls, insect galls and associated fauna of Ecological Station of Jataí (Luiz Antônio, SP). Biota Neotropica 12:99–107.;;;;;;;;;;;;;
Cecidomyiidae;Anisodiplosis waltheriae Maia, 2005;Maia, 2005a;Maia & Fernandes, 2005;2005;Waltheria indica L. ;NA+G5;Sterculiaceae;Minas Gerais;Aimorés;NA;Mata Atlântica;Maia, V. C., and G. W. Fernandes. 2005a. A new genus and species of gall midge (Diptera: Cecidomyiidae) associated with Waltheria indica L. (Sterculiaceae). Zootaxa 1060: 27-36  DOI: http://dx.doi.org/10.11646/zootaxa.1060.1.2;;;;;;;;;;;;;
Cecidomyiidae;Arcivena kielmeyerae Gagné, 1984;Gagné, 1984;Gagné, 1984;1984;Kielmeyera rosea Mart. & Zucc. ;NA;Calophyllaceae;São Paulo ;Mogi-Guaçu ;NA;Transição caatinga-cerrado;Gagné, R.J. 1984. Five new species of Neotropical Cecidomyiidae (Diptera) associated with cacao flowers, killing the buds of Clusiaceae, or preying on mites. Brenesia 22: 123–138.;;;;;;;;;;;;;
Cecidomyiidae;Asphondylia canastrae Urso-Guimarães & Amorim, 2002;Urso-Guimarães & Amorim, 2002;Urso-Guimarães & Amorim, 2002;2002;Hyptis sp. ;NA;Lamiaceae;Minas Gerais;Delfinópolis;Estância Carmen Silvia ;Cerrado;Urso-Guimarães, M. V., and D. S. Amorim. 2002. New Brazilian species of Asphondyliini (Diptera,Cecidomyiidae). Revista Brasileira de Entomologia 46: 561-570.;;;;;;;;;;;;;
Cecidomyiidae;Asphondylia cipo Urso-Guimarães, 2018;Urso-Guimarães, 2018;Urso-Guimarães, 2018a;2018;Lessingianthus warmingianus (Baker) H. Rob. ;NA;Asteraceae;Minas Gerais;Santana do Riacho;NA;Cerrado;Urso-Guimarães, M. V. 2018a. Two new species of the tribe Alycaulini (Diptera: Cecidomyiidae) from Brazil. Florida Entomologist 101: 603-611.;;;;;;;;;;;;;
Cecidomyiidae;Asphondylia gochnatiae Maia, 2008;Maia, 2008;Maia, Silveira, Oliveira & Xavier, 2008;2008;Moquiniastrum polymorphum (Less.) G. Sancho;Gochnatia polymorpha (Less.) Cabrera ;Asteraceae;Minas Gerais;Luz;NA;Cerrado;Maia, V. C., F. A. O. Silveira, L. A. Oliveira, and M. F. Xavier. 2008. Asphondylia gochnatiae, a new species of gall midge (Diptera, Cecidomyiidae) associated with Gochnatia polymorpha (Asteraceae). Zootaxa 1740: 53–58.;;;;;;;;;;;;;
Cecidomyiidae;Asphondylia microcapillata Maia, 2005;Maia, 2005b;Maia & Fernandes, 2005;2005;Bauhinia brevipes Vogel;NA;Fabaceae;Minas Gerais;Três Marias;NA;Cerrado;Maia, V. C., and G. W. Fernandes. 2005b. Two new species of Asphondyliini (Diptera: Cecidomyiidae) associated with Bauhinea brevipes (Fabaceae). Zootaxa 1091: 27–40.;;;;;;;;;;;;;
Cecidomyiidae;Asphondylia sanctipetri Urso-Guimarães & Amorim, 2002;Urso-Guimarães & Amorim, 2002;Urso-Guimarães & Amorim, 2002;2002;Schefflera morototoni (Aubl.) Maguire et al.;Didymopanax morototoni Aubl.;Araliaceae;São Paulo ;Ribeirão Preto;Fazenda Palmeiras;Cerrado;Urso-Guimarães, M. V., and D. S. Amorim. 2002. New Brazilian species of Asphondyliini (Diptera,Cecidomyiidae). Revista Brasileira de Entomologia 46: 561–570.;;;;;;;;;;;;;
