Ref_number;States;Municipality ;Study_location;Coordinates ;Conservation_unit;Status_conservation_unit;Phytophysiognomy_type;Plant_species_original;Plant_species_adjusted;Plant_family;Plant_genus;Threat_status;Life_form;Vegetation_type;Plant_distribution;Biogeographical _domain;
Ref_10;MG;NA;Serra do Ouro Branco;20°35'S-11°11' S;No;NA;Campo rupestre;Achyrocline albicans;Achyrocline albicans Griseb.;Asteraceae;Achyrocline;NA;Herb|Subshrub;Área Antrópica|Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu);BA|DF|ES|GO|MG|RS|SC|SP;Caatinga|Cerrado|Mata Atlântica|Pampa;
Ref_10;MG;NA;Parque Estadual do Itacolomi;20°35'S-11°11' S;Yes;Estadual;Campo rupestre;Achyrocline satureioides;Achyrocline satureioides (Lam.) DC.;Asteraceae;Achyrocline;NA;Herb;Área Antrópica|Campo de Altitude|Campo Limpo|Campo rupestre|Restinga|Vegetação Sobre Afloramentos Rochosos;BA|ES|MG|PR|RJ|RS|SC|SP;Cerrado|Mata Atlântica|Pampa;
Ref_17;MG;NA;Parque Estadual da Serra do Cabral;17°03’S-18° 13’S, 44°05’W-44°52’W;Yes;Estadual;Campo rupestre, campo cerrado, campo sujo;Acritopappus longifolius;Acritopappus longifolius (Gardner) R.M.King & H.Rob.;Asteraceae;Acritopappus;NA;Shrub;Campo rupestre;BA|MG|RJ|SP;Cerrado|Mata Atlântica;
Ref_10;MG;NA;Parque Estadual de Biribiri;20°35'S-11°11' S;Yes;Estadual;Campo rupestre;Aegiphila lhotskiana;Aegiphila verticillata Vell.;Lamiaceae;Aegiphila;NA;Shrub|Tree|Subshrub;Caatinga (stricto sensu)|Campo de Altitude|Campo rupestre|Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga|Savana Amazônica;AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RO|SC|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pantanal;
Ref_03;MG;Minas Novas;Posses;42°47'W, 17°02'S;No;NA;Cerrado;Ageratum conyzoides;Ageratum conyzoides L.;Asteraceae;Ageratum;NA;Herb|Subshrub;Área Antrópica|Campo rupestre|Cerrado (lato sensu);AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|PR|RJ|RN|RO|RR|RS|SC|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa|Pantanal;
Ref_10;MG;NA;Parque Estadual de Biribiri;20°35'S-11°11' S;Yes;Estadual;Campo rupestre;Agrianthus microlicioides;Agrianthus microlicioides Mattf.;Asteraceae;Agrianthus;NA;Shrub;Campo rupestre;BA;Caatinga;
Ref_23;GO;NA;NA;NA;NA;NA;NA;Alibertia edulis;Alibertia edulis (Rich.) A.Rich.;Rubiaceae;Alibertia;NA;Shrub;Campinarana|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Savana Amazônica;NA;Amazônia|Cerrado;
Ref_27;MS;Aquidauana;Universidade Estadual de Mato Grosso do Sul (UEMS), Distrito de Camisão;"20°27'21.4""S, 55°39'46.1""W; 20°26'58.1""S, 55°38'16.9""W";No;No;Cerrado;Amorimia pubiflora;Amorimia pubiflora (A.Juss.) W.R.Anderson;Malpighiaceae;Amorimia;NA;Liana/volúvel/trepadeira;Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual;GO|MG|MS|MT|SP;Cerrado|Mata Atlântica;
Ref_07;SP;Santa Rita do Passa Quatro;Pé-de-Gigante Cerrado Reserve;"21°35’ S; 47°35’W";Yes;Federal;Cerrado;Distictela elongata;Amphilophium elongatum (Vahl) L.G.Lohmann;Bignoniaceae;Amphilophium;NA;Liana/volúvel/trepadeira;Campinarana|Floresta de Terra Firme|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista;AM|AP|BA|GO|MG|MS|MT|PA|PR|RO|RR|SP|TO;Amazônia|Cerrado|Mata Atlântica;
Ref_07;SP;Santa Rita do Passa Quatro;Pé-de-Gigante Cerrado Reserve;"21°35’ S; 47°35’W";Yes;Federal;Cerrado;Anacardium humile;Anacardium humile A.St.-Hil.;Anacardiaceae;Anacardium;LC;Tree;Área Antrópica|Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PI|PR|RO|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_30;GO;Hidrolândia;Escola Agrícola;17°01’05”S, 49°11’49”W;No;No;Cerrado;Anacardium humile;Anacardium humile A.St.-Hil.;Anacardiaceae;Anacardium;LC;Tree;Área Antrópica|Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PI|PR|RO|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_12;GO;Pirenópolis, Corumbá de Goiás, Cocalzinho;Parque Estadual da Serra dos Pireneus;15°48’S, 48°52’W;Yes;Estadual;Cerrado, cerrado rochoso;Anacardium humile;Anacardium humile A.St.-Hil.;Anacardiaceae;Anacardium;LC;Tree;Área Antrópica|Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PI|PR|RO|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_32;BA;Caetité;Brejinho das Ametistas;"14°15’46”S; 42°31’28”W";No;No;Cerrado;Anacardium humile;Anacardium humile A.St.-Hil.;Anacardiaceae;Anacardium;LC;Tree;Área Antrópica|Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PI|PR|RO|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_13;MG;Januária;Área de Proteção Ambiental do Rio Pandeiros;15°29’15”S, 44°21’40”W;Yes;Estadual;Cerrado;Anacardium humile;Anacardium humile A.St.-Hil.;Anacardiaceae;Anacardium;LC;Tree;Área Antrópica|Cerrado (lato sensu);BA|DF|GO|MG|MS|MT|PI|PR|RO|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica;
Ref_23;GO;NA;NA;NA;NA;NA;NA;Anacardium occidentale;Anacardium occidentale L.;Anacardiaceae;Anacardium;NA;Tree;Caatinga (stricto sensu)|Cerrado (lato sensu)|Restinga|Savana Amazônica;AC|AL|AM|AP|BA|CE|DF|ES|GO|MA|MG|MS|MT|PA|PB|PE|PI|RJ|RN|RR|SE|SP|TO;Amazônia|Caatinga|Cerrado|Mata Atlântica|Pampa|Pantanal;
Ref_11;MG;Santana do Riacho;Serra do Cipó;"43°36’23.0’’W, 19º 19’44.6’’S; 43°36’42.3’’W, 19º 18’ 24.1’’S; 43°36’09.3’’W, 19º 20’24.0’’S";No;No;Campo rupestre, cerrado;Anadenanthera colubrina;Anadenanthera colubrina (Vell.) Brenan;Fabaceae;Anadenanthera;NA;NA;NA;NA;Caatinga|Cerrado|Mata Atlântica;
Ref_13;MG;Januária;Área de Proteção Ambiental do Rio Pandeiros;15°29’15”S, 44°21’40”W;Yes;Estadual;Mata seca;Anadenanthera colubrina;Anadenanthera colubrina (Vell.) Brenan;Fabaceae;Anadenanthera;NA;NA;NA;NA;Caatinga|Cerrado|Mata Atlântica;
Ref_05;MG;Delfinópolis;Represa de Peixoto;20°15’S, 20°30’S, 46°45’W-47°00’W;No;No;Mata de galeria;Anandenanthera macrocarpa;Anadenanthera colubrina var. cebil (Griseb.) Altschul;Fabaceae;Anadenanthera;NA;Tree;Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta OmbrÃ³fila (= Floresta Pluvial);BR-BA|BR-CE|BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PI|BR-RN|BR-SE;Caatinga|Cerrado|Mata AtlÃ¢ntica;
